state_code,state_name,electricity_maps_zone_id,month,avg_electricity_cost_cents_per_kwh,pct_solar_state,pct_wind_state,pct_hydro_state,pct_fossil_state,carbon_g_per_kwh_zone,renewable_pct_zone,carbon_free_pct_zone,total_kw_usage
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T00:00:00Z,,,,,,420.5517004268974,35.46682233618887,35.46682233618887,698060.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T01:00:00Z,,,,,,416.2989054947497,36.33335185288072,36.33335185288072,719960.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T02:00:00Z,,,,,,408.2904585892373,37.35411015698565,37.35411015698565,711530.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T03:00:00Z,,,,,,395.2972936345526,39.992356584314734,39.992356584314734,737890.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T04:00:00Z,,,,,,451.70208853733,35.5127671384957,35.5127671384957,864720.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T05:00:00Z,,,,,,462.62739860311234,34.63220193603725,34.63220193603725,816100.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T06:00:00Z,,,,,,490.2540520027421,30.679132797962982,30.679132797962982,816880.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T07:00:00Z,,,,,,501.85979816767417,28.748539040605245,28.748539040605245,795710.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T08:00:00Z,,,,,,458.80220405068775,32.743014188237844,32.743014188237844,738640.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T09:00:00Z,,,,,,465.84234671848014,30.78435341105354,30.78435341105354,741120.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T10:00:00Z,,,,,,462.71669813438257,31.62856652451181,31.62856652451181,757390.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T11:00:00Z,,,,,,452.6434532820931,33.46997399169287,33.46997399169287,772830.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T12:00:00Z,,,,,,457.6454973951873,32.62838005457703,32.62838005457703,765890.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T13:00:00Z,,,,,,438.29023156377013,35.3859271873019,35.3859271873019,804530.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T14:00:00Z,,,,,,437.6592312215199,35.33602822284286,35.33602822284286,816360.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T15:00:00Z,,,,,,423.2452852709477,38.06457388398186,38.06457388398186,837800.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T16:00:00Z,,,,,,434.954813052672,36.11607314494425,35.162581699346404,832320.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T17:00:00Z,,,,,,443.21652868624943,34.259226183292704,34.259226183292704,828620.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T18:00:00Z,,,,,,411.96976092924444,36.60006345790396,36.60006345790396,724890.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T19:00:00Z,,,,,,411.4940194794099,36.67780657287692,36.67780657287692,702280.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T20:00:00Z,,,,,,426.56912687360557,34.005061168261385,34.005061168261385,667830.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T21:00:00Z,,,,,,424.6679438251399,34.796961971852234,34.796961971852234,662930.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T22:00:00Z,,,,,,416.888698083674,35.62305669954257,35.62305669954257,658030.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-27T23:00:00Z,,,,,,433.60109451034657,32.681301596679155,32.681301596679155,643210.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T00:00:00Z,,,,,,411.4532808476633,36.374093586290584,36.374093586290584,675740.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T01:00:00Z,,,,,,411.1635849435815,36.265454075626636,36.265454075626636,696580.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T02:00:00Z,,,,,,410.34644933995503,36.555852681919156,36.555852681919156,706770.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T03:00:00Z,,,,,,402.97990898594037,38.106296271140394,38.106296271140394,736150.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T04:00:00Z,,,,,,405.2766406693324,38.04254589123349,38.04254589123349,757770.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T05:00:00Z,,,,,,470.6981358254232,33.043105979058616,33.043105979058616,817520.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T06:00:00Z,,,,,,467.1348497864764,34.38561237067194,34.38561237067194,803190.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T07:00:00Z,,,,,,477.00789383799923,32.571152070234916,32.571152070234916,790490.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T08:00:00Z,,,,,,449.2213345548116,33.707141606154096,33.707141606154096,742270.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T09:00:00Z,,,,,,465.5471577602725,31.924206940600385,31.924206940600385,704550.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T10:00:00Z,,,,,,462.7555104285654,31.917248381774336,31.917248381774336,709110.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T11:00:00Z,,,,,,451.94132177801083,33.72590149455584,33.72590149455584,724630.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T12:00:00Z,,,,,,463.67508938255736,31.77455509581007,31.77455509581007,746790.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T13:00:00Z,,,,,,451.3426404867689,33.67187398209796,33.67187398209796,767510.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T14:00:00Z,,,,,,452.15197630062494,33.839650461272086,33.839650461272086,739260.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T15:00:00Z,,,,,,437.7689987681067,36.70656868159098,36.70656868159098,706230.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T16:00:00Z,,,,,,449.7138082424586,34.5785016286645,34.5785016286645,706100.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T17:00:00Z,,,,,,408.1722824937294,38.64570427004321,38.64570427004321,661820.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T18:00:00Z,,,,,,420.6968179096631,34.67283905544927,34.67283905544927,684770.0
AK,Alaska,US-AK;US-AK-SEAPA,2026-03-28T19:00:00Z,,,,,,424.55223880597015,34.66169154228856,34.66169154228856,663300.0
